FunctionSize,Precision,Recall,F-measure,Accuracy
0-10,0.914,0.890,0.902,0.914
10-20,0.939,0.947,0.943,0.942
20-30,0.941,0.941,0.941,0.965
30-40,1.000,1.000,1.000,1.000
40-50,0.915,0.862,0.888,0.911
50-60,0.995,1.000,0.997,0.996
60-70,1.000,0.895,0.944,0.938
70-80,1.000,1.000,1.000,1.000
>80,0.929,0.942,0.935,0.928
Average,0.959,0.942,0.950,0.955
